id,bank,category,person,format,difficulty,question,tags
C0346,companions,Companions (Sahaba),,short_answer,3,"Turn patience under persecution in Mecca into a 2-step reasoning question (Step 1 identify, Step 2 justify). Answer in 3 bullet points.","['sahaba', 'early_islam', 'hadith', 'history']"
C0347,companions,Companions (Sahaba),,true_false,5,Write a reflection prompt connecting the Treaty of Hudaybiyyah and strategic patience to patience (sabr). Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0348,companions,Companions (Sahaba),,short_answer,5,Write a reflection prompt connecting the Conquest of Mecca and forgiveness to sincerity (ikhlas). Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0349,companions,Companions (Sahaba),,scenario,1,"Turn the Constitution of Medina and plural community rules into a 2-step reasoning question (Step 1 identify, Step 2 justify). Make it suitable for advanced learners.","['sahaba', 'early_islam', 'hadith', 'history']"
C0350,companions,Companions (Sahaba),,scenario,5,List 3 virtues the Companions modeled in how the Companions approached non-Muslim neighbors. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0351,companions,Companions (Sahaba),,true_false,2,Make a short-answer quiz item about courage balanced with restraint for beginners. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0352,companions,Companions (Sahaba),,free_response,3,Compare students of knowledge vs messengers in how each contributed to the Battle of Uhud and lessons learned. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0353,companions,Companions (Sahaba),,true_false,5,Make a short-answer quiz item about scribes and written record-keeping for advanced learners. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0354,companions,Companions (Sahaba),,scenario,1,Write a reflection prompt connecting prophetic companionship and mentorship to trust (tawakkul). Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0355,companions,Companions (Sahaba),,short_answer,3,Make a short-answer quiz item about rights of neighbors and community cohesion for beginners. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0356,companions,Companions (Sahaba),,free_response,2,Design a classroom activity to teach how the Companions approached non-Muslim neighbors. Make it community-building. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0357,companions,Companions (Sahaba),,short_answer,5,"Explain how isnad protects against misinformation, using Qur'an compilation and preservation in early Islam as the example context. Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0358,companions,Companions (Sahaba),,multiple_choice,5,What questions would you ask to verify a claim about the Conquest of Mecca and forgiveness? Use a methodological lens. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0359,companions,Companions (Sahaba),,scenario,3,What is one misconception about consultation (shura) among Companions? Write a 'spot the error' prompt to correct it. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0360,companions,Companions (Sahaba),,multiple_choice,2,Make a short-answer quiz item about how the Companions treated the poor and marginalized for beginners. Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0361,companions,Companions (Sahaba),,true_false,4,"Turn the role of Companions in transmitting Qur'anic context (asbab al-nuzul) into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0362,companions,Companions (Sahaba),,free_response,1,What would educational success look like if your community applied lessons from the Farewell Pilgrimage and community ethics this month? Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0363,companions,Companions (Sahaba),,multiple_choice,5,Make a short-answer quiz item about adab (ethics) in disagreement among believers for advanced learners. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0364,companions,Companions (Sahaba),,scenario,4,Give 2 reasons why the definition of a Companion (Sahabi) in hadith terminology mattered for preserving Islam's teachings and community. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0365,companions,Companions (Sahaba),,multiple_choice,5,"Turn Qur'an compilation and preservation in early Islam into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0366,companions,Companions (Sahaba),,true_false,1,Create a short scenario about humility and avoiding fame and ask learners what the best response is. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0367,companions,Companions (Sahaba),,multiple_choice,1,"What is one misconception about migration, sacrifice, and prioritizing values? Write a 'spot the error' prompt to correct it. Answer in 4-6 sentences.","['sahaba', 'early_islam', 'hadith', 'history']"
C0368,companions,Companions (Sahaba),,true_false,3,Create a short scenario about courage balanced with restraint and ask learners what the best response is. Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0369,companions,Companions (Sahaba),,free_response,2,Design a classroom activity to teach ethics of war and peace in early Islam. Make it methodological. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0370,companions,Companions (Sahaba),,free_response,1,Write a reflection prompt connecting da'wah methods used by early Muslims to patience (sabr). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0371,companions,Companions (Sahaba),,free_response,2,Write a true/false prompt about the role of Companions in transmitting Qur'anic context (asbab al-nuzul) (do not provide the answer). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0372,companions,Companions (Sahaba),,scenario,5,Write a true/false prompt about managing anger and conflict in families (do not provide the answer). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0373,companions,Companions (Sahaba),,true_false,5,List 3 virtues the Companions modeled in the definition of a Companion (Sahabi) in hadith terminology. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0374,companions,Companions (Sahaba),,scenario,4,Write a true/false prompt about respecting privacy and avoiding suspicion (do not provide the answer). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0375,companions,Companions (Sahaba),,free_response,2,"Compare students of knowledge vs Badriyyun in how each contributed to social justice, charity, and caring for the vulnerable. Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0376,companions,Companions (Sahaba),,multiple_choice,2,What is one misconception about fitnah and how early Muslims navigated trials? Write a 'spot the error' prompt to correct it. Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0377,companions,Companions (Sahaba),,free_response,2,What would conflict-resolution success look like if your community applied lessons from public speaking and conveying knowledge responsibly this month? Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0378,companions,Companions (Sahaba),,scenario,1,"Explain how isnad protects against misinformation, using interfaith interactions and treaties as the example context. Answer in 3 bullet points.","['sahaba', 'early_islam', 'hadith', 'history']"
C0379,companions,Companions (Sahaba),,multiple_choice,5,How does community building in Medina relate to the reliability of hadith transmission? Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0380,companions,Companions (Sahaba),,free_response,1,Describe respecting privacy and avoiding suspicion from a community-building angle. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0381,companions,Companions (Sahaba),,multiple_choice,5,What would historical success look like if your community applied lessons from leadership after the Prophet and decision-making this month? Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0382,companions,Companions (Sahaba),,scenario,5,Design a classroom activity to teach managing anger and conflict in families. Make it psychological. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0383,companions,Companions (Sahaba),,short_answer,5,Write a reflection prompt connecting the Farewell Pilgrimage and community ethics to patience (sabr). Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0384,companions,Companions (Sahaba),,true_false,2,Design a classroom activity to teach youth Companions and early responsibility. Make it evidence-based. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0385,companions,Companions (Sahaba),,scenario,5,Write a multiple-choice question about the pledge(s) of al-'Aqabah and community commitments (do not provide the answer). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0386,companions,Companions (Sahaba),,short_answer,4,Write a true/false prompt about the pledge(s) of al-'Aqabah and community commitments (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0387,companions,Companions (Sahaba),,multiple_choice,2,"If a social media post claims something about social justice, charity, and caring for the vulnerable, how would you respond without being combative? Answer in 4-6 sentences.","['sahaba', 'early_islam', 'hadith', 'history']"
C0388,companions,Companions (Sahaba),,true_false,3,Critique environmental stewardship and avoiding waste from a educational angle. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0389,companions,Companions (Sahaba),,true_false,5,Design a classroom activity to teach public speaking and conveying knowledge responsibly. Make it educational. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0390,companions,Companions (Sahaba),,short_answer,3,Create a short scenario about community building in Medina and ask learners what the best response is. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0391,companions,Companions (Sahaba),,scenario,1,Write a multiple-choice question about managing anger and conflict in families (do not provide the answer). Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0392,companions,Companions (Sahaba),,true_false,2,Write a reflection prompt connecting the Hijrah and the roles of Muhajirun and Ansar to sincerity (ikhlas). Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0393,companions,Companions (Sahaba),,multiple_choice,2,Make a short-answer quiz item about preservation and transmission of hadith for beginners. Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0394,companions,Companions (Sahaba),,multiple_choice,1,Design a classroom activity to teach truthfulness and trust (amana) in public life. Make it leadership. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0395,companions,Companions (Sahaba),,true_false,1,Write a reflection prompt connecting prophetic companionship and mentorship to patience (sabr). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0396,companions,Companions (Sahaba),,free_response,5,What is one misconception about how the Companions prioritized truth over tribalism? Write a 'spot the error' prompt to correct it. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0397,companions,Companions (Sahaba),,scenario,2,"How does learning, teaching, and seeking knowledge relate to the reliability of hadith transmission? Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0398,companions,Companions (Sahaba),,short_answer,2,"List 3 virtues the Companions modeled in learning, teaching, and seeking knowledge. Include a warning about a common misconception.","['sahaba', 'early_islam', 'hadith', 'history']"
C0399,companions,Companions (Sahaba),,multiple_choice,1,Give 2 reasons why the definition of a Companion (Sahabi) in hadith terminology mattered for preserving Islam's teachings and community. Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0400,companions,Companions (Sahaba),,short_answer,5,What is one misconception about rights of neighbors and community cohesion? Write a 'spot the error' prompt to correct it. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0401,companions,Companions (Sahaba),,free_response,2,"If a social media post claims something about memorization culture and oral transmission, how would you respond without being combative? Answer in 3 bullet points.","['sahaba', 'early_islam', 'hadith', 'history']"
C0402,companions,Companions (Sahaba),,free_response,5,Give 2 reasons why how the Companions practiced gratitude in hardship mattered for preserving Islam's teachings and community. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0403,companions,Companions (Sahaba),,scenario,5,What would spiritual success look like if your community applied lessons from the Trench (Khandaq) and community resilience this month? Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0404,companions,Companions (Sahaba),,true_false,3,"If a social media post claims something about the pledge(s) of al-'Aqabah and community commitments, how would you respond without being combative? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['sahaba', 'early_islam', 'hadith', 'history']"
C0405,companions,Companions (Sahaba),,scenario,1,List 3 virtues the Companions modeled in youth Companions and early responsibility. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0406,companions,Companions (Sahaba),,free_response,5,"Turn the Farewell Pilgrimage and community ethics into a 2-step reasoning question (Step 1 identify, Step 2 justify). Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0407,companions,Companions (Sahaba),,free_response,1,"Make a short-answer quiz item about social justice, charity, and caring for the vulnerable for advanced learners. Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0408,companions,Companions (Sahaba),,short_answer,3,"Explain how isnad protects against misinformation, using the Constitution of Medina and plural community rules as the example context. Answer in 1-2 sentences.","['sahaba', 'early_islam', 'hadith', 'history']"
C0409,companions,Companions (Sahaba),,multiple_choice,3,Write a reflection prompt connecting the Farewell Pilgrimage and community ethics to patience (sabr). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0410,companions,Companions (Sahaba),,scenario,2,Make a short-answer quiz item about how political power can threaten sincerity for advanced learners. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0411,companions,Companions (Sahaba),,free_response,1,Write a true/false prompt about the Trench (Khandaq) and community resilience (do not provide the answer). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0412,companions,Companions (Sahaba),,free_response,5,What would methodological success look like if your community applied lessons from how the Companions balanced worship and work this month? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0413,companions,Companions (Sahaba),,short_answer,1,List 3 virtues the Companions modeled in family life and raising children in Medina. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0414,companions,Companions (Sahaba),,short_answer,3,"What would psychological success look like if your community applied lessons from migration, sacrifice, and prioritizing values this month? Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0415,companions,Companions (Sahaba),,scenario,5,Write a true/false prompt about Qur'an compilation and preservation in early Islam (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0416,companions,Companions (Sahaba),,scenario,1,Write a reflection prompt connecting consultation (shura) among Companions to patience (sabr). Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0417,companions,Companions (Sahaba),,scenario,5,Write a reflection prompt connecting brotherhood between Muhajirun and Ansar to sincerity (ikhlas). Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0418,companions,Companions (Sahaba),,short_answer,1,"Turn youth Companions and early responsibility into a 2-step reasoning question (Step 1 identify, Step 2 justify). Explain your reasoning step-by-step.","['sahaba', 'early_islam', 'hadith', 'history']"
C0419,companions,Companions (Sahaba),,multiple_choice,5,Write a reflection prompt connecting how the Companions practiced gratitude in hardship to sincerity (ikhlas). Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0420,companions,Companions (Sahaba),,scenario,1,Compare scribes vs traders in how each contributed to scribes and written record-keeping. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0421,companions,Companions (Sahaba),,short_answer,2,What would evidence-based success look like if your community applied lessons from rights of neighbors and community cohesion this month? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0422,companions,Companions (Sahaba),,free_response,3,Give 2 reasons why memorization culture and oral transmission mattered for preserving Islam's teachings and community. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0423,companions,Companions (Sahaba),,multiple_choice,2,"Write a reflection prompt connecting economic ethics: trade, honesty, and contracts to sincerity (ikhlas). Include a warning about a common misconception.","['sahaba', 'early_islam', 'hadith', 'history']"
C0424,companions,Companions (Sahaba),,free_response,5,"Explain how isnad protects against misinformation, using interfaith interactions and treaties as the example context. Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0425,companions,Companions (Sahaba),,multiple_choice,2,List 3 virtues the Companions modeled in da'wah methods used by early Muslims. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0426,companions,Companions (Sahaba),,short_answer,1,Write a true/false prompt about what makes a narration reliable vs weak (do not provide the answer). Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0427,companions,Companions (Sahaba),,free_response,3,What would leadership success look like if your community applied lessons from how the Companions treated the poor and marginalized this month? Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0428,companions,Companions (Sahaba),,multiple_choice,2,Make a short-answer quiz item about women Companions and their contributions for beginners. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0429,companions,Companions (Sahaba),,short_answer,4,Compare students of knowledge vs community leaders in how each contributed to how Companions served as judges and mediators. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0430,companions,Companions (Sahaba),,true_false,5,Defend women Companions and their contributions from a educational angle. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0431,companions,Companions (Sahaba),,scenario,1,"Explain how isnad protects against misinformation, using the Hijrah and the roles of Muhajirun and Ansar as the example context. Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0432,companions,Companions (Sahaba),,multiple_choice,2,Compare judges vs Ansar in how each contributed to interfaith interactions and treaties. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0433,companions,Companions (Sahaba),,short_answer,1,"If a social media post claims something about humility and avoiding fame, how would you respond without being combative? Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0434,companions,Companions (Sahaba),,true_false,4,"What questions would you ask to verify a claim about social justice, charity, and caring for the vulnerable? Use a ethical lens. Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0435,companions,Companions (Sahaba),,true_false,1,Give 2 reasons why the Constitution of Medina and plural community rules mattered for preserving Islam's teachings and community. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0436,companions,Companions (Sahaba),,true_false,1,Compare traders vs students of knowledge in how each contributed to how the Companions balanced worship and work. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0437,companions,Companions (Sahaba),,free_response,1,"Turn what makes a narration reliable vs weak into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0438,companions,Companions (Sahaba),,free_response,3,Design a classroom activity to teach the People of the Bench (Ahl al-Suffah) and learning. Make it psychological. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0439,companions,Companions (Sahaba),,scenario,4,Make a short-answer quiz item about hospitality and caring for guests for beginners. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0440,companions,Companions (Sahaba),,scenario,5,List 3 virtues the Companions modeled in the Constitution of Medina and plural community rules. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0441,companions,Companions (Sahaba),,true_false,5,Write a multiple-choice question about leadership after the Prophet and decision-making (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0442,companions,Companions (Sahaba),,true_false,1,Give 2 reasons why fitnah and how early Muslims navigated trials mattered for preserving Islam's teachings and community. Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0443,companions,Companions (Sahaba),,short_answer,2,Write a multiple-choice question about justice and accountability in early governance (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0444,companions,Companions (Sahaba),,true_false,4,Write a multiple-choice question about humility and avoiding fame (do not provide the answer). Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0445,companions,Companions (Sahaba),,short_answer,3,Write a reflection prompt connecting interfaith interactions and treaties to trust (tawakkul). Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0446,companions,Companions (Sahaba),,true_false,4,What questions would you ask to verify a claim about how the Companions prioritized truth over tribalism? Use a leadership lens. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0447,companions,Companions (Sahaba),,free_response,3,Write a true/false prompt about leadership after the Prophet and decision-making (do not provide the answer). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0448,companions,Companions (Sahaba),,free_response,4,Compare students of knowledge vs commanders in how each contributed to what makes a narration reliable vs weak. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0449,companions,Companions (Sahaba),,short_answer,4,Write a reflection prompt connecting how political power can threaten sincerity to sincerity (ikhlas). Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0450,companions,Companions (Sahaba),,scenario,5,What questions would you ask to verify a claim about women Companions and their contributions? Use a psychological lens. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0451,companions,Companions (Sahaba),,short_answer,2,Make a short-answer quiz item about what makes a narration reliable vs weak for advanced learners. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0452,companions,Companions (Sahaba),,short_answer,2,Design a classroom activity to teach what makes a narration reliable vs weak. Make it spiritual. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0453,companions,Companions (Sahaba),,true_false,5,Design a classroom activity to teach how the Companions balanced worship and work. Make it educational. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0454,companions,Companions (Sahaba),,free_response,5,Write a reflection prompt connecting adab (ethics) in disagreement among believers to patience (sabr). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0455,companions,Companions (Sahaba),,scenario,5,Write a true/false prompt about family life and raising children in Medina (do not provide the answer). Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0456,companions,Companions (Sahaba),,multiple_choice,5,How does family life and raising children in Medina relate to the reliability of hadith transmission? Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0457,companions,Companions (Sahaba),,scenario,4,Write a reflection prompt connecting how the Companions prioritized truth over tribalism to sincerity (ikhlas). Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0458,companions,Companions (Sahaba),,true_false,1,"Explain how isnad protects against misinformation, using the Hijrah and the roles of Muhajirun and Ansar as the example context. Explain your reasoning step-by-step.","['sahaba', 'early_islam', 'hadith', 'history']"
C0459,companions,Companions (Sahaba),,multiple_choice,1,Write a reflection prompt connecting adab (ethics) in disagreement among believers to sincerity (ikhlas). Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0460,companions,Companions (Sahaba),,short_answer,2,Write a reflection prompt connecting the People of the Bench (Ahl al-Suffah) and learning to sincerity (ikhlas). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0461,companions,Companions (Sahaba),,true_false,5,"Turn women Companions and their contributions into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0462,companions,Companions (Sahaba),,scenario,4,Design a classroom activity to teach how political power can threaten sincerity. Make it conflict-resolution. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0463,companions,Companions (Sahaba),,short_answer,2,Critique the Conquest of Mecca and forgiveness from a conflict-resolution angle. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0464,companions,Companions (Sahaba),,short_answer,3,What questions would you ask to verify a claim about how the Companions balanced worship and work? Use a methodological lens. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0465,companions,Companions (Sahaba),,short_answer,3,Write a multiple-choice question about community building in Medina (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0466,companions,Companions (Sahaba),,scenario,3,Write a reflection prompt connecting interfaith interactions and treaties to sincerity (ikhlas). Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0467,companions,Companions (Sahaba),,free_response,4,"Design a classroom activity to teach social justice, charity, and caring for the vulnerable. Make it educational. Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0468,companions,Companions (Sahaba),,short_answer,3,Compare students of knowledge vs scribes in how each contributed to the pledge(s) of al-'Aqabah and community commitments. Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0469,companions,Companions (Sahaba),,short_answer,2,Reflect on courage balanced with restraint from a conflict-resolution angle. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0470,companions,Companions (Sahaba),,multiple_choice,4,"Explain how isnad protects against misinformation, using hospitality and caring for guests as the example context. Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0471,companions,Companions (Sahaba),,multiple_choice,5,List 3 virtues the Companions modeled in how the Companions practiced gratitude in hardship. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0472,companions,Companions (Sahaba),,multiple_choice,5,Outline how political power can threaten sincerity from a psychological angle. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0473,companions,Companions (Sahaba),,free_response,3,Write a multiple-choice question about courage balanced with restraint (do not provide the answer). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0474,companions,Companions (Sahaba),,short_answer,2,"If a social media post claims something about consultation (shura) among Companions, how would you respond without being combative? Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0475,companions,Companions (Sahaba),,multiple_choice,2,"Explain how isnad protects against misinformation, using public speaking and conveying knowledge responsibly as the example context. Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0476,companions,Companions (Sahaba),,true_false,1,Make a short-answer quiz item about ethics of war and peace in early Islam for beginners. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0477,companions,Companions (Sahaba),,scenario,4,"Turn family life and raising children in Medina into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0478,companions,Companions (Sahaba),,short_answer,3,Create a short scenario about how Companions handled mistakes and repentance and ask learners what the best response is. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0479,companions,Companions (Sahaba),,multiple_choice,1,Write a reflection prompt connecting the Trench (Khandaq) and community resilience to trust (tawakkul). Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0480,companions,Companions (Sahaba),,multiple_choice,3,What is one misconception about scribes and written record-keeping? Write a 'spot the error' prompt to correct it. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0481,companions,Companions (Sahaba),,free_response,5,Write a multiple-choice question about leadership after the Prophet and decision-making (do not provide the answer). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0482,companions,Companions (Sahaba),,true_false,5,Write a reflection prompt connecting family life and raising children in Medina to patience (sabr). Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0483,companions,Companions (Sahaba),,short_answer,3,Write a true/false prompt about women Companions and their contributions (do not provide the answer). Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
